brand,engine_code,displacement,fuel_type,rating,weakness_count,models,year_min,year_max
Alfa Romeo,939A1.000,1.9L JTDM,Diesel,neutral,6,159 939,2005,2011
Alfa Romeo,939A2.000,1.9L JTDM 16V,Diesel,neutral,6,159 939,2005,2011
Alfa Romeo,939A5.000,2.2L JTS,Benzin,neutral,6,159 939; Brera 939; Spider 939,2005,2011
Alfa Romeo,939A6.000,1.9L JTS,Benzin,neutral,6,159 939,2005,2011
Alfa Romeo,939A9.000,2.4L JTDM,Diesel,neutral,6,159 939; Brera 939; Spider 939,2005,2011
Alfa Romeo,939B1.000,1.75L TBi,Benzin,neutral,6,159 939; Brera 939; Spider 939,2009,2011
Alfa Romeo,939B3.000,2.0L JTDM,Diesel,neutral,6,159 939; Brera 939; Spider 939,2005,2011
Alfa Romeo,940A1000,1.75L TBi,Benzin,neutral,8,Giulietta 940,2010,2020
Alfa Romeo,940A2000,1.4L MultiAir Turbo,Benzin,neutral,8,MiTo 955; Giulietta 940,2010,2020
Alfa Romeo,940A4000,2.0L JTDM,Diesel,neutral,6,Giulietta 940,2010,2020
Alfa Romeo,940B7000,1.4L T-Jet,Benzin,neutral,6,MiTo 955; Giulietta 940,2008,2020
Alfa Romeo,940C2000,1.4L MultiAir Turbo 150,Benzin,neutral,7,Giulietta 940,2015,2018
Alfa Romeo,955A1000,1.4L 8V FIRE,Benzin,neutral,6,MiTo 955,2008,2013
Alfa Romeo,955A6000,1.4L MultiAir 105,Benzin,neutral,6,MiTo 955,2009,2018
Alfa Romeo,955A9000,1.4L 8V FIRE 70,Benzin,neutral,6,MiTo 955,2012,2016
Alfa Romeo,955B1000,1.4L MultiAir Turbo 140,Benzin,neutral,7,MiTo 955,2013,2018
Alfa Romeo,960A1.000,1.7L TBi,Benzin,neutral,9,4C 960,2013,2020
Alfa Romeo,AR16101,3.0L V6,Benzin,neutral,6,Spider 916,1995,2001
Alfa Romeo,AR16102,3.0L V6,Benzin,neutral,6,GTV 916; Spider 916,1995,2006
Alfa Romeo,AR16202,2.0L V6 Turbo,Benzin,neutral,7,GTV 916; Spider 916,1995,2006
Alfa Romeo,AR32104,1.6L Twin Spark,Benzin,neutral,8,147 937; 156 932,1997,2010
Alfa Romeo,AR32201,1.8L Twin Spark,Benzin,neutral,8,156 932; GTV 916; Spider 916; GT 937C,1995,2010
Alfa Romeo,AR32301,2.0L Twin Spark,Benzin,neutral,8,156 932,1997,2006
Alfa Romeo,AR32310,2.0L Twin Spark,Benzin,neutral,8,147 937; 156 932; GTV 916; Spider 916,1995,2010
Alfa Romeo,AR32401,2.5L V6,Benzin,neutral,6,156 932,1997,2003
Alfa Romeo,AR32501,2.4L JTD,Diesel,neutral,7,156 932,1997,2002
Alfa Romeo,AR37203,1.6L Twin Spark,Benzin,neutral,8,147 937; 156 932,1997,2010
Alfa Romeo,PHEV-1332,1.3L PHEV,Benzin,neutral,6,Tonale 965,2022,2024
Alfa Romeo,670052695,2.9L V6 BiTurbo,Benzin,recommended,8,Giulia 952; Stelvio 949,2016,2024
Alfa Romeo,939A4.000,1.8L MPI,Benzin,recommended,6,159 939,2005,2011
Audi,AAH,2.6L V6,Benzin,avoid,7,A4 B5,1994,1998
Audi,AEB,1.8L Turbo,Benzin,avoid,8,A4 B5,1994,2001
Audi,AKN,2.5L TDI V6,Diesel,avoid,5,A4 B5,1997,2001
Audi,ASE,4.0L TDI V8,Diesel,avoid,6,A8 D3,2002,2010
Audi,AUK,3.2L FSI V6,Benzin,avoid,6,A4 B7; A6 C6,2004,2008
Audi,AXX,2.0L TFSI,Benzin,avoid,7,A3 8P; A4 B7; TT 8J,2004,2010
Audi,BAM,1.8L Turbo,Benzin,avoid,5,TT 8N,1999,2006
Audi,BAM-180,1.8L Turbo,Benzin,avoid,5,TT 8N,1998,2006
Audi,BAR,4.2L FSI V8,Benzin,avoid,8,Q7 4L,2006,2015
Audi,BAT,4.2L FSI V8,Benzin,avoid,8,A6 C6,2006,2011
Audi,BBK,4.2L V8 FSI,Benzin,avoid,8,A4 B6; A4 B7,2003,2008
Audi,BCY,4.2L V8 BiTurbo,Benzin,avoid,7,A6 C5,2002,2004
Audi,BDG,2.5L TDI V6,Diesel,avoid,5,A6 C5,1997,2004
Audi,BDX,2.8L FSI V6,Benzin,avoid,6,A6 C6,2008,2011
Audi,BEX,1.8L Turbo,Benzin,avoid,7,A4 B6,2002,2004
Audi,BFC,2.5L TDI V6,Diesel,avoid,6,A4 B6; A4 B7,2000,2009
Audi,BFM,4.2L FSI V8,Benzin,avoid,8,A8 D3,2002,2010
Audi,BHK,3.6L FSI V6,Benzin,avoid,6,Q7 4L,2006,2010
Audi,BHZ,2.0L TFSI,Benzin,avoid,6,A3 8P,2006,2012
Audi,BKD,2.0L TDI,Diesel,avoid,5,A3 8P,2003,2008
Audi,BKN,3.0L TDI V6,Diesel,avoid,6,A4 B7,2004,2008
Audi,BLS,1.9L TDI,Diesel,avoid,9,A3 8P,2005,2010
Audi,BMK,3.0L TDI V6,Diesel,avoid,5,A6 C6,2004,2009
Audi,BNS,4.2L FSI V8,Benzin,avoid,8,A4 B7,2005,2009
Audi,BPJ,2.0L TDI,Diesel,avoid,5,A6 C6,2004,2008
Audi,BPK,3.2L FSI V6,Benzin,avoid,6,A8 D3,2005,2010
Audi,BRD,2.0L TDI,Diesel,avoid,5,A6 C6,2008,2011
Audi,BUB,2.0L TDI,Diesel,avoid,5,TT 8J,2008,2014
Audi,BUJ,5.2L V10 FSI,Benzin,avoid,11,R8 42; A6 C6; A8 D3; S8 D3,2006,2015
Audi,BVE,2.0L TDI,Diesel,avoid,6,A4 B7,2004,2008
Audi,BWE,2.0L TFSI,Benzin,avoid,5,A4 B7,2005,2008
Audi,BYK,2.0L TFSI,Benzin,avoid,5,A6 C6,2005,2011
Audi,CAEB,2.0L TFSI,Benzin,avoid,6,A4 B8; A5 8T; Q5 8R,2007,2017
Audi,CAHA,2.0L TDI,Diesel,avoid,7,A4 B8; A5 8T; Q3 8U; Q5 8R,2008,2017
Audi,CASB,3.0L TDI V6,Diesel,avoid,6,Q7 4L; A8 D4,2010,2018
Audi,CAVE,1.4L TSI,Benzin,avoid,8,A1 8X,2010,2014
Audi,CAXA,1.4L TSI,Benzin,avoid,7,A1 8X; A3 8P,2007,2018
Audi,CBBB,1.8L TFSI,Benzin,avoid,5,TT 8J,2008,2014
Audi,CBZA,1.2L TSI,Benzin,avoid,7,A1 8X; A3 8P,2010,2014
Audi,CBZB,1.2L TSI,Benzin,avoid,6,A1 8X; A3 8P,2010,2014
Audi,CCWA,3.0L TDI V6,Diesel,avoid,7,Q5 8R; A6 C6; A4 B8; A5 8T,2004,2017
Audi,CCZA,2.0L TFSI,Benzin,avoid,7,A3 8P; TT 8J,2008,2014
Audi,CCZB,2.0L TFSI,Benzin,avoid,5,TT 8J,2008,2014
Audi,CDAA,1.8L TFSI,Benzin,avoid,5,TT 8J,2008,2014
Audi,CDHA,1.8L TFSI,Benzin,avoid,5,A4 B8,2007,2012
Audi,CDHB-106,1.8L TFSI,Benzin,avoid,6,A5 8T,2007,2016
Audi,CDNC,2.0L TFSI,Benzin,avoid,7,A4 B8; A5 8T; Q3 8U,2008,2016
Audi,CFSA,4.2L FSI V8,Benzin,avoid,9,A4 B8; A5 8T,2010,2017
Audi,CGGA,1.2L TFSI,Benzin,avoid,5,A3 8P,2010,2013
Audi,CGKD,4.2L FSI V8,Benzin,avoid,12,A5 8T; S5 8T,2006,2012
Audi,CGLC,2.0L TDI,Diesel,avoid,6,A6 C7; A4 B8; A5 8T,2011,2015
Audi,CGQB,3.0L TDI V6 BiTurbo,Diesel,avoid,6,A6 C7; A7 4G; Q5 8R,2010,2017
Audi,CHZD,1.0L TFSI,Benzin,avoid,6,A1 8X; A1 GB,2015,2024
Audi,CKNB,3.0L TDI V6,Diesel,avoid,5,A6 C7; A7 4G,2010,2018
Audi,CRDB,4.0L TFSI V8 BiTurbo,Benzin,avoid,10,A6 C7; A7 4G,2015,2018
Audi,CREC,3.0L TDI V6,Diesel,avoid,5,Q7 4M,2015,2019
Audi,CTHG,1.4L TSI,Benzin,avoid,8,A1 8X,2012,2014
Audi,CTPA,5.2L V10 FSI,Benzin,avoid,11,R8 42,2012,2015
Audi,CVMD,3.0L TDI V6,Diesel,avoid,5,Q7 4M; Q8 4M,2015,2024
Audi,CZVC,3.0L TDI V6,Diesel,avoid,6,A6 C8; A7 4K,2018,2024
Audi,CZZA,3.0L TDI V6,Diesel,avoid,6,Q7 4M,2015,2018
Audi,DAUB,3.0L TDI V6,Diesel,avoid,5,A6 C8; A7 4K,2019,2024
Audi,ABT,2.0L Mono-Motronic,Benzin,neutral,7,80 B4,1991,1995
Audi,ADP,1.6L MPI,Benzin,neutral,5,A4 B5,1994,2001
Audi,AFN,1.9L TDI,Diesel,neutral,5,A3 8L; A4 B5,1994,2003
Audi,AGA,2.4L V6,Benzin,neutral,5,A4 B5; A4 B6; A4 B7,1997,2009
Audi,AGA-120,2.4L V6,Benzin,neutral,6,A4 B6,2002,2006
Audi,AGR,1.9L TDI,Diesel,neutral,7,A3 8L; A4 B5,1995,2003
Audi,AGU,1.8L Turbo,Benzin,neutral,5,A3 8L,1996,2003
Audi,AKF,3.7L V8,Benzin,neutral,6,A8 D3,2002,2010
Audi,ALT,2.0L MPI,Benzin,neutral,7,A4 B6,2000,2004
Audi,AMF,1.4L TDI,Diesel,neutral,6,A2 8Z,2000,2003
Audi,ANY,1.2L TDI,Diesel,neutral,6,A2 8Z,2000,2005
Audi,APR,2.8L V6,Benzin,neutral,5,A4 B5,1996,2001
Audi,APS,2.4L V6,Benzin,neutral,5,A4 B6,2000,2004
Audi,ARL,1.9L TDI,Diesel,neutral,9,A3 8L,2000,2003
Audi,ASB,3.0L TDI V6,Diesel,neutral,7,A4 B7,2004,2008
Audi,ASN,3.0L V6 30V,Benzin,neutral,7,A6 C6,2004,2008
Audi,AUA,1.4L MPI,Benzin,neutral,6,A2 8Z,2000,2005
Audi,Audi-A6ET-185,Elektromotor Rear,Elektro,neutral,5,A6 C9,2024,2026
Audi,Audi-A6ET-270,Elektromotor Dual,Elektro,neutral,5,A6 C9,2024,2026
Audi,Audi-EM-230,Elektromotor Dual,Elektro,neutral,5,e-tron GE,2019,2023
Audi,Audi-EM-300,Elektromotor Dual,Elektro,neutral,6,e-tron GE,2018,2023
Audi,Audi-EM-370,Elektromotor Triple,Elektro,neutral,6,e-tron GE,2020,2023
Audi,Audi-ETGT-142,Elektromotor Rear,Elektro,neutral,6,e-tron GT J1,2021,2026
Audi,Audi-ETGT-390,Elektromotor Dual,Elektro,neutral,5,e-tron GT J1,2021,2024
Audi,Audi-ETGT-475,Elektromotor Dual,Elektro,neutral,5,e-tron GT J1,2021,2024
Audi,Audi-Q4ET-125,Elektromotor Rear,Elektro,neutral,5,Q4 FZ,2021,2026
Audi,Audi-Q4ET-150,Elektromotor Rear,Elektro,neutral,5,Q4 FZ,2021,2026
Audi,Audi-Q4ET-195,Elektromotor Dual,Elektro,neutral,5,Q4 FZ,2021,2026
Audi,Audi-Q4ET-89,Elektromotor Rear,Elektro,neutral,5,Q4 FZ,2021,2026
Audi,Audi-Q6ET-150,Elektromotor Rear,Elektro,neutral,5,Q6 J3,2024,2026
Audi,Audi-Q6ET-285,Elektromotor Dual,Elektro,neutral,5,Q6 J3,2024,2026
Audi,AUM,1.8L Turbo,Benzin,neutral,5,TT 8N,2001,2006
Audi,AUQ,1.8L Turbo,Benzin,neutral,5,TT 8N,1998,2006
Audi,AVJ,1.8L Turbo,Benzin,neutral,6,A4 B6,2000,2004
Audi,AWA,1.8L Turbo,Benzin,neutral,6,A4 B6,2002,2004
Audi,AWX,1.9L TDI,Diesel,neutral,8,A4 B6,2000,2004
Audi,AWX-176,1.8L Turbo,Benzin,neutral,5,TT 8N,1998,2006
Audi,AXR,1.9L TDI,Diesel,neutral,9,A3 8L,2000,2003
Audi,AYP,1.8L Turbo,Benzin,neutral,5,A3 8L,1999,2003
Audi,BAD,1.6L FSI,Benzin,neutral,5,A2 8Z,2002,2005
Audi,BAG,1.6L FSI,Benzin,neutral,6,A3 8P,2003,2007
Audi,BBJ,2.0L FSI,Benzin,neutral,7,A4 B6,2002,2004
Audi,BDV,2.4L V6,Benzin,neutral,5,A4 B6; A4 B7,2001,2008
Audi,BFB,1.8L Turbo,Benzin,neutral,6,A4 B7; A4 B6,2002,2008
Audi,BFC-121,2.5L TDI V6,Diesel,neutral,5,A4 B6,2002,2006
Audi,BFV,1.8L Turbo,Benzin,neutral,6,TT 8N,2005,2006
Audi,BHC,1.4L TDI,Diesel,neutral,6,A2 8Z,2003,2005
Audi,BHE,3.2L V6,Benzin,neutral,5,TT 8N; A3 8P,2003,2012
Audi,BHT,6.0L W12,Benzin,neutral,5,A8 D3; A8 D4,2003,2017
Audi,BKC,1.9L TDI,Diesel,neutral,8,A3 8P; A4 B7,2003,2008
Audi,BLX,2.0L FSI,Benzin,neutral,5,A3 8P,2003,2008
Audi,BMP,2.0L TDI,Diesel,neutral,6,A4 B7,2004,2008
Audi,BRE,2.0L TDI,Diesel,neutral,6,A4 B7,2004,2008
Audi,BSG,2.7L TDI V6,Diesel,neutral,5,A4 B7; A6 C6,2004,2008
Audi,BSM,5.0L V10 BiTurbo,Benzin,neutral,6,A6 C6,2008,2010
Audi,BTR,4.2L TDI V8,Diesel,neutral,5,Q7 4L,2007,2009
Audi,BTR-235,4.2L TDI V8,Diesel,neutral,6,A8 D3,2002,2010
Audi,BUG,3.0L TDI V6,Diesel,neutral,5,Q7 4L,2006,2010
Audi,BYH,4.2L FSI V8,Benzin,neutral,8,R8 42,2006,2015
Audi,BYT,2.8L FSI V6,Benzin,neutral,5,A6 C6,2006,2011
Audi,CAGA,2.0L TDI,Diesel,neutral,5,A4 B8; A5 8T,2007,2016
Audi,CAKA,3.0L TFSI V6,Benzin,neutral,15,A4 B8; A5 8T; S4 B8; S5 8T,2009,2016
Audi,CALA,3.2L FSI V6,Benzin,neutral,6,A4 B8; A5 8T,2007,2012
Audi,CALB,3.2L FSI V6,Benzin,neutral,5,Q5 8R,2008,2012
Audi,CANA,2.7L TDI V6,Diesel,neutral,5,A4 B8; A5 8T; A6 C6,2004,2012
Audi,CASA,3.0L TDI V6,Diesel,neutral,5,Q7 4L,2010,2015
Audi,CASA-ETR,3.0L TDI V6 Hybrid,Diesel,neutral,5,Q7 4L,2007,2015
Audi,CAUA,4.2L V8 FSI,Benzin,neutral,8,R8 42,2006,2012
Audi,CAYB,1.6L TDI,Diesel,neutral,5,A1 8X; A3 8P; A3 8V,2009,2015
Audi,CAYC,1.6L TDI,Diesel,neutral,5,A1 8X; A3 8P,2009,2015
Audi,CBAB,2.0L TDI,Diesel,neutral,5,A3 8P,2008,2013
Audi,CCFA,4.2L TDI V8,Diesel,neutral,5,Q7 4L,2012,2015
Audi,CCGA,6.0L TDI V12,Diesel,neutral,6,Q7 4L,2007,2014
Audi,CDHB,1.8L TFSI,Benzin,neutral,5,A4 B8; A5 8T,2007,2012
Audi,CDLA,4.2L TDI V8,Diesel,neutral,6,A8 D4,2010,2018
Audi,CDLF,2.0L TFSI,Benzin,neutral,5,TT 8J,2008,2014
Audi,CDMD,3.0L TFSI V6,Benzin,neutral,7,A5 8T,2010,2017
Audi,CDNB,2.0L TFSI,Benzin,neutral,5,A6 C7,2011,2018
Audi,CDRA,4.2L FSI V8,Benzin,neutral,8,A8 D4,2010,2018
Audi,CDTA,3.0L TDI V6,Diesel,neutral,5,A8 D4,2010,2013
Audi,CDUC,3.0L TDI V6,Diesel,neutral,5,A6 C7; A7 4G,2010,2014
Audi,CDUC-184,3.0L TDI V6,Diesel,neutral,6,Q5 8R,2008,2017
Audi,CEPA,2.5L TFSI I5,Benzin,neutral,16,A3 8P; TT 8J,2009,2012
Audi,CEPB,2.5L TFSI I5,Benzin,neutral,16,TT 8J,2011,2014
Audi,CEUA,4.0L TFSI V8,Benzin,neutral,5,A8 D4,2013,2017
Audi,CEUB,4.0L TFSI V8,Benzin,neutral,5,A8 D4,2012,2018
Audi,CEUC,3.0L TFSI V6,Benzin,neutral,7,A6 C7,2011,2014
Audi,CFFA,2.0L TDI,Diesel,neutral,5,Q3 8U,2011,2018
Audi,CFFB,2.0L TDI,Diesel,neutral,6,Q3 8U,2011,2015
Audi,CGWA,3.0L TFSI V6,Benzin,neutral,8,A8 D4,2010,2017
Audi,CGWB,3.0L TFSI V6,Benzin,neutral,8,A6 C7; A7 4G,2010,2014
Audi,CGXB,3.0L TFSI V6,Benzin,neutral,7,A8 D4,2013,2017
Audi,CHVA,2.8L FSI V6,Benzin,neutral,5,A6 C7,2011,2018
Audi,CHVA-140,2.8L FSI V6,Benzin,neutral,6,A6 C6,2004,2011
Audi,CJCA,2.0L TDI,Diesel,neutral,5,A3 8P,2009,2013
Audi,CJEB,1.8L TFSI,Benzin,neutral,5,A4 B8; A5 8T,2011,2016
Audi,CJEK,1.8L TFSI,Benzin,neutral,5,A3 8V,2013,2020
Audi,CJSA,2.0L TFSI,Benzin,neutral,9,A3 8V; TT 8S,2012,2018
Audi,CJXB,2.0L TFSI,Benzin,neutral,7,A3 8V,2012,2016
Audi,CJXC,2.0L TFSI,Benzin,neutral,8,A3 8V,2013,2016
Audi,CJXF,2.0L TFSI,Benzin,neutral,6,TT 8S,2014,2023
Audi,CJXG,2.0L TFSI,Benzin,neutral,8,A3 8V; TT 8S,2013,2023
Audi,CLAA,3.0L TDI V6,Diesel,neutral,6,A6 C7; A7 4G,2010,2014
Audi,CLZB,3.0L TDI V6,Diesel,neutral,5,A4 B8; A4 B9,2007,2023
Audi,CMFA,2.0L TDI,Diesel,neutral,6,A4 B8,2013,2015
Audi,CMGB,2.0L TDI,Diesel,neutral,6,A6 C7,2014,2018
Audi,CMSA-449,5.2L V10 FSI,Benzin,neutral,7,R8 4S,2015,2019
Audi,CNCD,2.0L TFSI,Benzin,neutral,6,A4 B8; A5 8T; A6 C7,2012,2018
Audi,CNDA,4.2L V8 FSI,Benzin,neutral,8,R8 42,2012,2015
Audi,CNHA,3.0L TDI V6,Diesel,neutral,5,A4 B9; A5 F5,2015,2019
Audi,CRBC,2.0L TDI,Diesel,neutral,5,A3 8V,2012,2016
Audi,CREA,3.0L TFSI V6,Benzin,neutral,7,Q7 4M; Q8 4M,2015,2024
Audi,CRLB,2.0L TDI,Diesel,neutral,5,A3 8V; Q2 GA; TT 8S,2012,2020
Audi,CRTE,3.0L TDI V6,Diesel,neutral,5,A6 C7; A7 4G; Q5 8R,2008,2018
Audi,CRTE-190,3.0L TDI V6,Diesel,neutral,5,Q5 8R,2008,2017
Audi,CSPB,5.2L V10 FSI,Benzin,neutral,7,R8 4S,2015,2019
Audi,CSUB,2.0L TDI,Diesel,neutral,5,A6 C7,2014,2018
Audi,CTEC,4.2L TDI V8,Diesel,neutral,5,A8 D4,2013,2017
Audi,CTGA,4.0L TFSI V8 BiTurbo,Benzin,neutral,10,A6 C7; A7 4G; A8 D4; S8 D4,2012,2018
Audi,CTGA-W12,6.3L W12,Benzin,neutral,5,A8 D4,2010,2018
Audi,CTGB,4.0L TFSI V8 BiTurbo,Benzin,neutral,5,A6 C7,2012,2018
Audi,CTSA,2.5L TFSI I5,Benzin,neutral,11,Q3 8U,2013,2018
Audi,CTUA,3.0L TFSI V6,Benzin,neutral,7,A6 C7; A7 4G,2014,2018
Audi,CUNA,2.0L TDI,Diesel,neutral,5,Q3 8U; A3 8V,2013,2020
Audi,CUSB,1.4L TDI,Diesel,neutral,5,A1 8X,2014,2018
Audi,CVUB,3.0L TDI V6 BiTurbo,Diesel,neutral,6,Q5 8R,2014,2017
Audi,CWGD,3.0L TFSI V6,Benzin,neutral,8,A4 B9; A5 F5; Q5 FY; S4 B9; S5 F5,2016,2023
Audi,CWUB,4.0L TFSI V8 BiTurbo,Benzin,neutral,10,A6 C7; A7 4G,2013,2018
Audi,CWZA,2.0L TFSI,Benzin,neutral,5,A1 8X,2014,2018
Audi,CXMA,1.6L TDI,Diesel,neutral,6,A3 8V,2013,2020
Audi,CYRB,2.0L TFSI,Benzin,neutral,8,A4 B9; A5 F5; A6 C7; TT 8S,2014,2023
Audi,CYVB,1.2L TFSI,Benzin,neutral,6,A3 8V,2014,2020
Audi,CZAC,4.0L TDI V8 BiTurbo,Diesel,neutral,5,Q7 4M; Q8 4M,2016,2024
Audi,CZCA,1.4L TFSI,Benzin,neutral,7,A1 8X; A3 8V; Q3 8U,2012,2018
Audi,CZGB,2.5L TFSI I5,Benzin,neutral,11,A3 8V; Q3 8U,2015,2018
Audi,CZSE,3.0L TFSI e V6,Benzin,neutral,9,A8 D5,2019,2025
Audi,CZVA,3.0L TDI V6,Diesel,neutral,5,A6 C7; A7 4G,2014,2018
Audi,DADA,1.5L TFSI,Benzin,neutral,5,A4 B9,2019,2023
Audi,DAXB,2.0L TFSI,Benzin,neutral,5,Q5 FY,2017,2024
Audi,DAZA,2.5L TFSI I5,Benzin,neutral,14,A3 8V; TT 8S,2016,2020
Audi,DBCA,2.0L TDI,Diesel,neutral,6,Q2 GA,2019,2026
Audi,DBPA,2.0L TFSI,Benzin,neutral,6,Q2 GA; Q3 F3,2016,2024
Audi,DCBE,3.0L TFSI e V6,Benzin,neutral,9,Q7 4M; Q8 4M,2019,2026
Audi,DCSA,4.0L TFSI V8 BiTurbo,Benzin,neutral,10,A6 C8; A7 4K; Q8 4M,2019,2024
Audi,DCTB,2.9L TFSI V6 BiTurbo,Benzin,neutral,5,A6 C8; A7 4K,2019,2024
Audi,DCU,4.0L TFSI V8 BiTurbo,Benzin,neutral,10,Q7 4M; Q8 4M,2020,2024
Audi,DDTA,4.0L TFSI V8,Benzin,neutral,5,A8 D5,2017,2024
Audi,DECA,2.9L TFSI V6 BiTurbo,Benzin,neutral,5,A4 B9; A5 F5,2017,2024
Audi,DEJA,2.0L TDI,Diesel,neutral,5,A3 8Y,2020,2024
Audi,DEMA,2.0L TFSI,Benzin,neutral,5,A6 C8,2018,2024
Audi,DETA,2.0L TDI,Diesel,neutral,5,A4 B9; A5 F5; Q3 F3; A6 C8; Q5 FY,2015,2024
Audi,DEUA,2.0L TDI,Diesel,neutral,6,A4 B9,2015,2019
Audi,DEZE,2.0L TDI,Diesel,neutral,5,Q2 GA; A6 C8,2016,2024
Audi,DEZF,2.0L TDI MHEV,Diesel,neutral,6,A6 C8,2019,2024
Audi,DFGA,2.0L TDI,Diesel,neutral,5,A4 B9; A5 F5,2015,2019
Audi,DFYA,2.0L TDI,Diesel,neutral,5,A3 8Y,2020,2024
Audi,DGTE,1.6L TDI,Diesel,neutral,5,A1 8X; A3 8V; A3 8Y,2013,2022
Audi,DHRA,4.0L TFSI V8 BiTurbo,Benzin,neutral,9,A8 D5,2019,2024
Audi,DHXA,3.0L TDI V6,Diesel,neutral,5,Q7 4M,2018,2019
Audi,DJHA,2.0L TFSI,Benzin,neutral,8,A3 8V,2016,2020
Audi,DJHB,2.0L TFSI,Benzin,neutral,9,A3 8V,2016,2020
Audi,DJTB,4.0L TFSI V8 BiTurbo,Benzin,neutral,10,A6 C8; A7 4K; Q8 4M,2023,2026
Audi,DKGE,2.0L TDI,Diesel,neutral,5,A4 B9; A5 F5,2019,2024
Audi,DKWB,2.0L TFSI,Benzin,neutral,7,A4 B9; A5 F5,2019,2023
Audi,DKYA,2.0L TFSI,Benzin,neutral,6,A4 B9; A5 F5,2020,2023
Audi,DKZA,2.0L TFSI,Benzin,neutral,7,A4 B9; A5 F5,2019,2023
Audi,DKZA-152,2.0L TFSI,Benzin,neutral,5,A1 GB,2018,2026
Audi,DKZF,2.0L TFSI e,Benzin,neutral,5,A3 8Y,2021,2024
Audi,DKZF-150,1.5L TFSI e,Benzin,neutral,6,A3 8Y,2020,2026
Audi,DLAA,1.0L TFSI,Benzin,neutral,7,A1 GB; Q2 GA; A3 8Y,2018,2024
Audi,DLGA,2.0L TFSI e,Benzin,neutral,10,Q5 FY; A6 C8,2019,2023
Audi,DLZA,3.0L TFSI V6,Benzin,neutral,7,A6 C8; A7 4K; A8 D5,2017,2024
Audi,DMSA,3.2L V6,Benzin,neutral,5,A3 8P; TT 8J,2003,2010
Audi,DNVA,3.0L TFSI V6,Benzin,neutral,7,A5 F5; Q5 FY; S5 F5; SQ5 FY,2024,2026
Audi,DNWA,2.5L TFSI I5,Benzin,neutral,12,A3 8V; TT 8S,2019,2022
Audi,DNWA-RSQ3,2.5L TFSI I5,Benzin,neutral,12,Q3 F3,2019,2024
Audi,DNWC,2.5L TFSI I5,Benzin,neutral,14,A3 8Y,2021,2025
Audi,DNXB,2.9L TFSI V6 BiTurbo,Benzin,neutral,6,A4 B9; A5 F5,2024,2026
Audi,DRYA,2.0L TFSI e,Benzin,neutral,9,Q5 FY; A6 C8; A7 4K,2021,2025
Audi,DTHA,3.0L TDI V6,Diesel,neutral,5,A6 C8; A7 4K; A8 D5; Q5 FY; Q7 4M,2017,2024
Audi,DTHA-220,3.0L TDI V6,Diesel,neutral,5,A6 C8,2023,2026
Audi,DTNA,2.0L TDI,Diesel,neutral,6,A6 C8; Q5 FY,2017,2024
